,0
1123,3449
1124,3462
1125,3468
1126,3476
1127,3506
1128,3507
1129,3509
1130,3514
1131,3518
1132,3521
1133,3526
1134,3529
1135,3531
1136,3543
1137,3547
1138,3551
1139,3556
1140,3565
1141,3566
1142,3584
1143,3588
1144,3598
1145,3615
1146,3626
1147,3683
1148,3698
1149,3703
1150,3704
1151,3706
1152,3730
1153,3741
1154,3747
1155,3749
1156,3751
1157,3783
1158,3793
1159,3794
1160,3819
1161,3855
1162,3859
1163,4024
1164,4037
1165,4062
1166,4144
1167,4183
1168,4205
1169,4210
1170,4218
1171,4235
1172,4245
1173,4298
1174,4378
1175,4422
1176,4432
1177,4443
1178,4518
1179,4546
1180,4587
1181,4640
1182,4641
1183,4713
1184,4928
1185,5060
1186,5119
1187,5291
1188,5333
1189,6023
1190,6461
1191,6920
1192,6985
1193,6987
1194,7013
1195,7064
1196,7066
1197,7700
1198,7883
1199,8042
1200,8154
1201,8228
1202,8656
1203,25940
1204,25954
1205,26052
1206,26078
1207,26172
1208,26350
1209,26713
1210,27722
1211,31437
1212,31770
1213,32239
1214,32369
1215,46578
1216,46839
1217,47117
1218,48385
1219,48774
1220,52885
1221,53519
1222,54780
1223,55118
1224,55253
1225,55269
1226,55442
1227,55444
1228,55805
1229,55814
1230,55995
1231,56003
1232,56171
1233,56286
1234,56339
1235,56367
1236,56788
1237,3
1238,42
1239,46
1240,81
1241,86
1242,89
1243,168
1244,172
1245,255
1246,315
1247,328
1248,370
1249,415
1250,485
1251,489
1252,718
1253,748
1254,799
1255,839
1256,849
1257,991
1258,1004
1259,1016
1260,1027
1261,1135
1262,1175
1263,1215
1264,1356
1265,1372
1266,1373
1267,1408
1268,1438
1269,1453
1270,1526
1271,1544
1272,1616
1273,1625
1274,1644
1275,1707
1276,1777
1277,1801
1278,1863
1279,1866
1280,1918
1281,1971
1282,1972
1283,1979
1284,1980
1285,1981
1286,1983
1287,1995
1288,1996
1289,2001
1290,2002
1291,2004
1292,2005
1293,2023
1294,2054
1295,2058
1296,2059
1297,2144
1298,2162
1299,2163
1300,2261
1301,2268
1302,2279
1303,2315
1304,2316
1305,2338
1306,2372
1307,2387
1308,2420
1309,2428
1310,2430
1311,2470
1312,2514
1313,2537
1314,2541
1315,2551
1316,2558
1317,2642
1318,2643
1319,2671
1320,2717
1321,2720
1322,2745
1323,2789
1324,2793
1325,2802
1326,2805
1327,2807
1328,2846
1329,2867
1330,2881
1331,2889
1332,2950
1333,2953
1334,2990
1335,2991
1336,3019
1337,3020
1338,3060
1339,3064
1340,3104
1341,3156
1342,3249
1343,3252
1344,3262
1345,3354
1346,3408
1347,3426
1348,3466
1349,3594
1350,3623
1351,3633
1352,3682
1353,3695
1354,3701
1355,3753
1356,3821
1357,3864
1358,3869
1359,3879
1360,3919
1361,3979
1362,3986
1363,4018
1364,4030
1365,4040
1366,4102
1367,4161
1368,4254
1369,4299
1370,4310
1371,4328
1372,4369
1373,4398
1374,4477
1375,4526
1376,4535
1377,4544
1378,4571
1379,4623
1380,4662
1381,4673
1382,4734
1383,4776
1384,4814
1385,4941
1386,5010
1387,5027
1388,5248
1389,5462
1390,5638
1391,5691
1392,5782
1393,5841
1394,5872
1395,5879
1396,5900
1397,5995
1398,6059
1399,6104
1400,6156
1401,6242
1402,6283
1403,6294
1404,6350
1405,6365
1406,6378
1407,6383
1408,6503
1409,6541
1410,6597
1411,6857
1412,6870
1413,6879
1414,6893
1415,6996
1416,7004
1417,7017
1418,7023
1419,7033
1420,7150
1421,7154
1422,7193
1423,7325
1424,7360
1425,7387
1426,7482
1427,7564
1428,7810
1429,7811
1430,8596
1431,8622
1432,8783
1433,26776
1434,27801
1435,30812
1436,830
1437,2294
1438,2605
1439,3717
1440,3826
1441,3967
1442,159
1443,2457
1444,3041
1445,3384
1446,186
1447,552
1448,784
1449,1485
1450,2699
1451,1047
1452,1947
1453,2193
1454,3260
1455,4085
1456,4370
1457,4929
1458,4934
1459,6238
1460,21
1461,160
1462,173
1463,282
1464,553
1465,1061
1466,1105
1467,379
1468,419
1469,1297
1470,1378
1471,1411
1472,2046
1473,2231
1474,2485
1475,1573
1476,3489
1477,4239
1478,2115
1479,77561
1480,87232
1481,110102
1482,111362
1483,150548
1484,2
1485,104
1486,216
1487,250
1488,733
1489,986
1490,1429
1491,2012
1492,2018
1493,2078
1494,2083
1495,2139
1496,2694
1497,2722
1498,2800
1499,2948
1500,3624
1501,3635
1502,3697
1503,4232
1504,4519
1505,4732
1506,4990
1507,5621
1508,5765
1509,5803
1510,6157
1511,145
1512,1917
1513,2011
1514,4246
1515,4638
1516,5574
1517,6333
1518,6754
1519,6934
1520,6942
1521,7346
1522,7373
1523,8368
1524,8371
1525,8529
1526,8984
1527,34048
1528,34150
1529,34162
1530,35836
1531,36519
1532,40339
1533,40815
1534,42738
1535,45186
1536,45499
1537,45720
1538,49278
1539,49286
1540,51255
1541,52722
1542,53121
1543,53125
1544,53322
1545,53996
1546,54001
1547,55768
1548,56174
1549,58803
1550,58998
1551,60040
1552,60072
1553,60684
1554,61248
1555,63113
1556,64957
1557,64969
1558,65230
1559,68157
1560,68319
1561,68358
1562,68791
1563,69406
1564,69526
1565,69844
1566,70336
1567,71535
1568,72378
1569,73321
1570,74946
1571,78105
1572,78469
1573,79695
1574,80166
1575,80219
1576,80549
1577,80615
1578,81229
1579,81564
1580,81591
1581,81834
1582,82167
1583,83349
1584,83613
1585,84152
1586,84772
1587,85056
1588,85131
1589,85414
1590,86332
1591,86880
1592,87876
1593,88125
1594,88140
1595,88163
1596,88744
1597,90249
1598,91500
1599,91630
1600,91974
1601,92259
1602,92420
1603,92938
1604,93326
1605,93766
1606,94018
1607,94777
1608,95510
1609,96588
1610,96610
1611,97304
1612,97921
1613,100163
1614,100498
1615,101076
1616,102033
1617,102123
1618,102125
1619,102407
1620,102445
1621,102716
1622,102903
1623,103228
1624,103249
1625,103339
1626,103810
1627,104211
1628,104243
1629,104374
1630,104913
1631,106072
1632,106487
1633,106782
1634,106918
1635,107406
1636,108945
1637,109673
1638,109850
1639,110553
1640,111360
1641,112171
1642,112370
1643,112556
1644,112852
1645,113345
1646,113348
1647,114180
1648,114662
1649,115713
1650,116823
1651,117529
1652,117590
1653,118696
1654,120466
1655,120635
1656,122886
1657,122892
1658,122920
1659,122922
1660,122924
1661,132796
1662,134368
1663,134853
1664,135133
1665,135143
1666,135569
1667,139385
1668,143385
1669,149406
1670,152081
1671,158238
1672,158813
1673,160080
1674,160569
1675,162322
1676,164179
1677,166635
1678,193
1679,532
1680,880
1681,1186
1682,1287
1683,1345
1684,1479
1685,1556
1686,1779
1687,1831
1688,1882
1689,2160
1690,2528
1691,2701
1692,2707
1693,2819
1694,3510
1695,105
1696,158
1697,207
1698,227
1699,257
1700,303
1701,381
1702,413
1703,1380
1704,2431
1705,2617
1706,4980
1707,27797
1708,5
1709,9
1710,18
1711,61
1712,63
1713,64
1714,65
1715,66
1716,75
1717,79
1718,88
1719,112
1720,113
1721,494
1722,612
1723,618
1724,626
1725,637
1726,640
1727,653
1728,694
1729,704
1730,706
1731,708
1732,710
1733,725
1734,732
1735,737
1736,743
1737,765
1738,785
1739,786
1740,798
1741,802
1742,805
1743,809
1744,832
1745,833
1746,852
1747,886
1748,891
1749,996
1750,998
1751,999
1752,838
1753,916
1754,920
1755,932
1756,1025
1757,1275
1758,2565
1759,2641
1760,2804
1761,4270
1762,7669
1763,8533
1764,40629
1765,40819
1766,55052
1767,74282
1768,84847
1769,69481
1770,72641
1771,88129
1772,93838
1773,96606
1774,98961
1775,102194
1776,110501
1777,8965
1778,30707
1779,33493
1780,64034
1781,71264
1782,74458
1783,86190
1784,93840
1785,103141
1786,111921
1787,112552
1788,122882
1789,130520
1790,163645
1791,166486
1792,168250
1793,1608
1794,1927
1795,2301
1796,2533
1797,2947
1798,2949
1799,2985
1800,3638
1801,3639
1802,4006
1803,11
1804,22
1805,23
1806,45
1807,164
1808,234
1809,236
1810,248
1811,276
1812,280
1813,281
1814,319
1815,333
1816,338
1817,371
1818,426
1819,437
1820,491
1821,1416
1822,163
1823,353
1824,720
1825,1020
1826,1037
1827,1194
1828,1663
1829,2860
1830,3146
1831,3861
1832,5941
1833,46972
1834,55261
1835,101
1836,205
1837,320
1838,322
1839,348
1840,352
1841,441
1842,456
1843,562
1844,599
1845,728
1846,933
1847,936
1848,968
1849,1009
1850,1095
1851,1147
1852,1187
1853,1217
1854,1233
1855,1236
1856,1237
1857,1238
1858,1254
1859,1285
1860,1350
1861,1449
1862,1788
1863,1885
1864,1904
1865,1952
1866,1953
1867,1963
1868,2109
1869,2121
1870,2153
1871,2155
1872,2344
1873,2352
1874,2360
1875,2390
1876,2543
1877,2599
1878,2677
1879,2726
1880,2872
1881,2890
1882,2921
1883,2926
1884,2951
1885,3046
1886,3090
1887,3108
1888,3192
1889,3210
1890,3223
1891,3263
1892,3266
1893,3317
1894,3359
1895,3362
1896,3571
1897,3608
1898,3680
1899,3681
1900,3685
1901,3811
1902,3893
1903,3925
1904,3983
1905,4029
1906,4034
1907,4116
1908,4234
1909,4237
1910,4280
1911,4294
1912,4297
1913,4304
1914,4321
1915,4327
1916,4349
1917,4467
1918,4500
1919,4529
1920,4642
1921,4723
1922,4846
1923,4870
1924,4898
1925,4903
1926,4911
1927,4914
1928,5013
1929,5016
1930,5039
1931,5049
1932,5135
1933,5225
1934,5249
1935,5269
1936,5288
1937,5293
1938,1251
1939,3788
1940,4424
1941,382
1942,1391
1943,1499
1944,1552
1945,1562
1946,1676
1947,1884
1948,1967
1949,2167
1950,2402
1951,2403
1952,2404
1953,2495
1954,2713
1955,3705
1956,4367
1957,4565
1958,4580
1959,4605
1960,4685
1961,5041
1962,5628
1963,5809
1964,5888
1965,6548
1966,6659
1967,6764
1968,6902
1969,7308
1970,7376
1971,7458
1972,31485
1973,31878
1974,37857
1975,39183
1976,42734
1977,43419
1978,45081
1979,48304
1980,53000
1981,56145
1982,57528
1983,57640
1984,57669
1985,58025
1986,59501
1987,59615
1988,60904
1989,60937
1990,61394
1991,62336
1992,64030
1993,71057
1994,71468
1995,74530
1996,74580
1997,74668
1998,76130
1999,78637
2000,79879
2001,82202
2002,84844
2003,86298
2004,87192
2005,87520
2006,89898
2007,90405
2008,90647
2009,91485
2010,96737
2011,98400
2012,100083
2013,100579
2014,101112
2015,101142
2016,101362
2017,103253
2018,103384
2019,104841
2020,106002
2021,108190
2022,111364
2023,113573
2024,116905
2025,120799
2026,122896
2027,130490
2028,130634
2029,135127
2030,140711
2031,140805
2032,146309
2033,148888
2034,158966
2035,163134
2036,355
2037,1129
2038,3039
2039,169
2040,502
2041,2413
2042,3439
2043,7099
2044,26614
2045,31658
2046,575
2047,4054
2048,5693
2049,230
2050,8784
2051,290
2052,1034
2053,2313
2054,3327
2055,3477
2056,4679
2057,5111
2058,5446
2059,52
2060,144
2061,171
2062,203
2063,204
2064,209
2065,237
2066,304
2067,314
2068,321
2069,358
2070,365
2071,378
2072,433
2073,450
2074,529
2075,534
2076,537
2077,639
2078,102
2079,667
2080,1005
2081,3275
2082,5026
2083,7156
2084,44195
2085,44199
2086,55765
2087,106100
2088,117176
2089,2795
2090,3988
2091,5388
2092,6550
2093,6873
2094,8464
2095,8917
2096,8949
2097,34072
2098,37727
2099,45950
2100,46970
2101,51540
2102,52973
2103,53123
2104,54503
2105,54997
2106,56782
2107,61024
2108,71464
2109,72011
2110,76293
2111,79702
2112,80463
2113,80906
2114,81537
2115,82459
2116,87869
2117,91077
2118,94959
2119,95441
2120,98491
2121,104879
2122,105197
2123,105504
2124,117533
2125,139644
2126,82
2127,213
2128,501
2129,1096
2130,1150
2131,1218
2132,1296
2133,1361
2134,1533
2135,2269
2136,2575
2137,2844
2138,4167
2139,6243
2140,26974
2141,27674
2142,37384
2143,49526
2144,49910
2145,51498
2146,53953
2147,56805
2148,58972
2149,60161
2150,69436
2151,71254
2152,71450
2153,71838
2154,258
2155,405
2156,504
2157,519
2158,692
2159,1371
2160,1376
2161,1396
2162,1584
2163,1590
2164,1591
2165,1876
2166,2038
2167,2053
2168,2093
2169,2116
2170,2140
2171,2288
2172,2311
2173,2325
2174,2364
2175,2377
2176,2408
2177,2456
2178,2525
2179,2526
2180,2527
2181,2530
2182,2613
2183,2668
2184,2808
2185,2851
2186,2901
2187,2986
2188,3024
2189,3032
2190,3269
2191,3581
2192,3699
2193,3700
2194,3758
2195,180
2196,3450
2197,1441
2198,1476
2199,1792
2200,2114
2201,2409
2202,2688
2203,2712
2204,3100
2205,3219
2206,3265
2207,3429
2208,3508
2209,3686
2210,3735
2211,3745
2212,4084
2213,27397
2214,27831
2215,30749
2216,38061
2217,40148
2218,41997
2219,549
2220,2583
2221,2897
2222,2910
2223,3452
2224,7163
2225,102880
2226,117444
2227,117881
2228,127098
2229,127152
2230,131724
2231,140715
2232,141408
2233,141422
2234,142372
2235,142536
2236,144716
2237,144734
2238,144976
2239,145096
2240,146040
2241,1495
2242,4124
2243,5647
2244,31698
2245,33779
2246,43919
2247,673
2248,1374
2249,1603
2250,1762
2251,1920
2252,2108
2253,2340
2254,2567
2255,2587
2256,2672
2257,1311
2258,1407
2259,1422
2260,1460
2261,1464
2262,1488
2263,1589
2264,2016
2265,3071
2266,909
2267,938
2268,971
2269,972
2270,1946
2271,3548
2272,1293
2273,6787
2274,26395
2275,26649
2276,46855
2277,47634
2278,52319
2279,73344
2280,2520
2281,631
2282,711
2283,1717
2284,3155
2285,3253
2286,4718
2287,6534
2288,32019
2289,40574
2290,41569
2291,46335
2292,46530
2293,47646
2294,53464
2295,56587
2296,58295
2297,74
2298,267
2299,310
2300,542
2301,569
2302,837
2303,879
2304,1006
2305,1088
2306,1124
2307,1268
2308,1290
2309,1330
2310,1359
2311,1381
2312,1474
2313,1677
2314,1750
2315,1806
2316,1911
2317,1919
2318,1958
2319,1991
2320,1992
2321,2042
2322,2057
2323,2088
2324,2335
2325,2392
2326,2432
2327,2433
2328,2445
2329,2453
2330,2471
2331,2491
2332,2546
2333,2555
2334,2629
2335,2633
2336,2634
2337,2676
2338,2719
2339,2724
2340,2803
2341,2840
2342,2861
2343,2888
2344,2906
2345,2907
2346,2975
2347,2995
2348,3005
2349,3113
2350,3176
2351,3270
2352,3273
2353,3325
2354,3480
2355,3513
2356,3545
2357,3593
2358,3688
2359,3689
2360,3690
2361,3707
2362,3857
2363,3863
2364,4010
2365,4023
2366,4087
2367,4132
2368,4474
2369,4676
2370,4744
2371,4812
2372,4991
2373,5102
2374,5266
2375,5267
2376,5346
2377,5804
2378,5873
2379,6593
2380,6889
2381,6944
2382,7161
2383,7162
2384,7386
2385,2359
2386,3361
2387,120825
2388,160718
2389,1645
2390,1997
2391,2353
2392,1688
2393,2799
2394,4340
2395,4756
2396,5361
2397,83
2398,1054
2399,1693
2400,1834
2401,2347
2402,2493
2403,3161
2404,3163
2405,3285
2406,4643
2407,44665
2408,12
2409,1017
2410,3999
2411,4238
2412,4823
2413,5528
2414,7158
2415,8977
2416,27611
2417,47518
2418,51575
2419,53894
2420,53974
2421,65612
2422,67734
2423,69542
2424,69757
2425,84954
2426,666
2427,1295
2428,1735
2429,1894
2430,2067
2431,2068
2432,2414
2433,2862
2434,3386
2435,3812
2436,5014
2437,5151
2438,5913
2439,5992
2440,6187
2441,6927
2442,6953
2443,7034
2444,7396
2445,8640
2446,8969
2447,2161
2448,272
2449,490
2450,87430
2451,88405
2452,89864
2453,94677
2454,97938
2455,112183
2456,122906
2457,122912
2458,122916
2459,122926
2460,174055
2461,174909
2462,177593
2463,177615
2464,178667
2465,180095
2466,180297
2467,187593
2468,427
2469,663
2470,994
2471,1243
2472,1261
2473,1310
2474,2596
2475,2976
2476,3167
2477,3182
2478,3272
2479,3334
2480,3441
2481,3763
2482,3886
2483,4017
2484,4033
2485,4082
2486,4448
2487,4452
2488,4553
2489,4624
2490,4761
2491,4873
2492,4975
2493,5015
2494,6584
2495,127108
2496,133802
2497,134393
2498,516
2499,850
2500,3498
2501,4086
2502,1049
2503,1810
2504,2501
2505,4041
2506,2375
2507,2841
2508,4639
2509,3178
2510,3264
2511,100
2512,518
2513,1711
2514,2181
2515,2245
2516,2443
2517,2467
2518,2598
2519,4118
2520,4322
2521,4506
2522,6323
2523,6484
2524,6636
2525,6832
2526,7038
2527,7082
2528,7229
2529,1370
2530,2989
2531,3397
2532,3398
2533,4016
2534,5254
2535,6093
2536,7281
2537,8132
2538,8985
2539,1015
2540,1286
2541,1895
2542,2346
2543,2399
2544,2759
2545,3063
2546,3831
2547,5364
2548,8866
2549,32029
2550,42723
2551,42725
2552,3504
2553,1086
2554,1091
2555,2378
2556,152
2557,154
2558,291
2559,305
2560,390
2561,406
2562,407
2563,421
2564,482
2565,769
2566,810
2567,930
2568,945
2569,949
2570,1031
2571,1081
2572,1125
2573,1173
2574,1209
2575,1227
