,,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12
epoch_10,uid_73381,55247,33166,2186,1446,265,65261,4641,6104,3730,5782,69844,1719
epoch_10,uid_117628,4993,4027,1797,1214,55820,115617,3677,933,1090,2300,2502,3681
epoch_10,uid_21453,910,1214,2186,3429,215,3996,665,2863,86504,60069,1217,2843
epoch_10,uid_229622,4641,215,945,5971,3429,47,68157,741,1230,3508,48780,5995
epoch_10,uid_167368,589,2186,265,1961,1281,2863,6773,4014,48780,3265,899,94959
epoch_10,uid_21772,3996,2186,3578,2819,4312,2300,2289,3089,6016,31410,48780,3503
epoch_10,uid_176555,665,5952,71535,5147,138036,109374,1719,38061,29,1293,2289,4327
epoch_10,uid_166868,1259,110,923,1283,1617,48780,2920,60069,2186,97938,1201,446
epoch_11,uid_128088,88129,1219,1235,55820,947,112552,1089,1258,1249,1201,1303,73017
epoch_11,uid_267455,1278,745,940,1949,106100,91529,55247,1945,4027,1080,898,3916
epoch_11,uid_73381,1136,4037,1263,665,5971,599,38061,319,1267,4995,2918,741
epoch_11,uid_117628,3730,953,86882,60069,1210,915,2186,3949,68237,3683,665,3089
epoch_11,uid_21453,4641,1259,48043,3508,109487,1222,4037,1263,1036,5013,91529,138036
epoch_11,uid_229622,951,5013,3020,3681,3089,4881,6874,78499,1258,109487,1257,1281
epoch_11,uid_167368,56782,4011,112552,8154,1217,111,913,5013,7099,3683,2542,2336
epoch_11,uid_21772,1217,82459,1257,1303,97938,5782,940,86504,907,678,1224,923
epoch_11,uid_176555,8154,924,1080,8917,2819,3996,50872,44199,1283,1446,910,2791
epoch_11,uid_166868,930,1260,2677,2542,31410,82459,1080,4262,306,33166,720,3897
epoch_12,uid_128088,3147,3265,3730,34437,720,971,55442,3462,1213,1036,3503,2692
epoch_12,uid_267455,665,4312,94959,290,5013,2289,3681,2908,952,2819,953,919
epoch_12,uid_73381,2905,48516,1212,4312,4881,30707,4105,1281,115713,2010,80489,2908
epoch_12,uid_117628,778,2905,79357,1230,49272,1446,2819,1303,1281,1270,109374,34405
epoch_12,uid_21453,162414,3089,2028,1303,293,1198,1210,3147,134130,902,3730,6957
epoch_12,uid_229622,162414,138036,2028,319,6957,112552,2791,902,86504,3147,608,3134
epoch_12,uid_167368,902,44555,44191,1719,86882,86504,1089,79357,665,3730,162414,4226
epoch_12,uid_21772,356,215,919,2908,3317,319,599,56782,3134,1225,1219,778
epoch_12,uid_176555,3578,1225,6874,290,497,3683,30707,68157,933,3429,2686,940
epoch_12,uid_166868,1217,3089,2819,3265,112552,67255,265,1719,2502,1209,3949,2318
epoch_13,uid_128088,954,44191,4973,1222,4037,1246,68157,2917,116797,86347,2357,31658
epoch_13,uid_267455,720,38061,678,34437,7156,111,4881,3911,1267,446,29,110
epoch_13,uid_73381,48780,138036,5954,1284,3147,951,1222,5225,5989,3503,1245,88125
epoch_13,uid_117628,745,1225,162414,922,1264,913,951,2677,319,3503,38061,952
epoch_13,uid_21453,7156,1682,3949,5971,1245,164179,2819,2692,265,319,2300,923
epoch_13,uid_229622,745,3578,4312,134130,8154,720,2819,1212,2843,290,8132,7156
epoch_13,uid_167368,2843,307,2677,134130,2300,2951,1254,84152,508,905,1704,4881
epoch_13,uid_21772,1617,720,1291,4226,1288,53519,106100,6957,1080,3897,112552,68157
epoch_13,uid_176555,1200,4881,6620,5971,952,86504,1036,4641,110,116797,5225,44191
epoch_13,uid_166868,134130,919,910,1222,290,551,3134,745,947,4995,2843,86882
epoch_14,uid_128088,8154,3683,1217,1209,930,508,1949,94959,1267,152081,6016,588
epoch_14,uid_267455,5225,1230,3134,902,152081,2843,1245,3503,86882,1199,4037,1247
epoch_14,uid_73381,940,71535,116797,3134,608,2677,1265,72641,49272,2843,8132,2951
epoch_14,uid_117628,2951,4037,1200,48780,5013,91529,1258,1267,3897,1175,3317,1212
epoch_14,uid_21453,73,55442,112552,5225,7153,898,4312,31410,1797,3468,55247,2318
epoch_14,uid_229622,2905,1719,60069,109374,94959,969,4027,164179,68237,508,1284,6711
epoch_14,uid_167368,1036,89745,5225,73,3095,2908,2791,8132,1952,954,4027,106100
epoch_14,uid_21772,34405,5971,3911,2318,5225,38061,7156,164179,3683,4881,30707,1199
epoch_14,uid_176555,2905,162414,68237,1217,2762,1257,34437,134130,3671,5782,3317,1264
epoch_14,uid_166868,4312,1197,48394,30707,969,954,108932,5225,7327,8132,48738,49530
epoch_15,uid_128088,6187,2843,599,7327,3681,7323,3910,2020,1214,1299,4312,2857
epoch_15,uid_267455,2863,8154,1719,1281,4902,923,109487,1218,134130,106916,81845,1212
epoch_15,uid_73381,1264,1235,1258,5013,73,1704,8154,356,6957,446,67255,457
epoch_15,uid_117628,2791,3468,4011,3508,5952,7361,1206,4262,1036,73,2863,55247
epoch_15,uid_21453,1281,116797,599,5147,8132,3503,34437,86882,919,940,457,1219
epoch_15,uid_229622,919,1217,67255,1206,800,55442,4037,89492,1500,1264,952,5225
epoch_15,uid_167368,933,3089,116797,1304,3508,446,720,7361,919,54259,1264,1253
epoch_15,uid_21772,951,2843,1719,6807,8132,44199,162,265,2028,111,6,4037
epoch_15,uid_176555,920,1230,1884,4037,1199,2677,5989,57669,2859,1260,3421,1212
epoch_15,uid_166868,599,4881,1949,3317,76093,1845,164179,1225,307,2951,88125,1265
epoch_16,uid_128088,457,1264,164179,4262,8132,8910,68237,2183,2268,7156,3949,5147
epoch_16,uid_267455,1206,7323,1291,951,48738,6773,1284,31410,293,49530,3317,4262
epoch_16,uid_73381,1200,3681,58559,290,1625,935,3508,53519,6773,3677,3910,68237
epoch_16,uid_117628,4641,8154,138036,508,4881,6016,599,1719,1284,112552,1217,5971
epoch_16,uid_21453,7327,106100,1267,1304,745,2336,36,720,3037,953,55276,1218
epoch_16,uid_229622,30707,3949,2762,898,4327,55247,920,446,2863,152081,933,4144
epoch_16,uid_167368,457,164179,290,947,53519,1949,82459,6957,30707,88125,1303,1267
epoch_16,uid_21772,1264,4262,34437,8154,55442,1175,79357,86882,55276,3265,116797,65261
epoch_16,uid_176555,215,55442,2318,3089,3508,446,117533,5673,319,741,4103,951
epoch_16,uid_166868,8154,902,4327,53519,1729,44191,1245,913,4641,898,6104,1625
epoch_17,uid_128088,2920,1291,3551,5225,2333,5878,4995,2951,1281,1259,84152,5995
epoch_17,uid_267455,112552,48394,1265,97938,162414,5669,55820,2918,1466,5147,3949,1264
epoch_17,uid_73381,952,969,4027,947,86882,79357,1303,106916,1079,246,2318,122886
epoch_17,uid_117628,2843,6957,110,8132,164179,55442,4144,34437,7482,1263,52281,1247
epoch_17,uid_21453,8154,589,67255,2918,3578,30707,951,106916,88125,1079,6773,1199
epoch_17,uid_229622,599,3996,49272,1732,106916,3468,3683,4226,34437,116797,1945,73
epoch_17,uid_167368,3503,4037,1245,1218,31410,106916,3578,1466,3317,8910,1500,44665
epoch_17,uid_21772,922,933,508,3508,73,106916,5878,68237,952,446,44191,4144
epoch_17,uid_176555,922,55247,4312,3468,1949,1254,947,898,1147,2857,7099,6773
epoch_17,uid_166868,1264,951,49272,116797,3503,1220,1281,111,1200,920,1089,1249
epoch_18,uid_128088,71535,2791,2804,1254,65261,4027,4105,4881,319,5782,1200,2571
epoch_18,uid_267455,162,3508,969,1036,2761,1303,6440,7099,3468,1249,1189,53519
epoch_18,uid_73381,162414,55442,1732,84152,46578,1219,3911,7099,307,7156,108932,1175
epoch_18,uid_117628,446,741,1387,71535,1079,947,924,1080,7099,4327,2918,40819
epoch_18,uid_21453,290,4027,3911,947,91658,1527,68157,1949,6874,40819,49530,2686
epoch_18,uid_229622,923,6016,971,40819,1291,79357,947,86882,7323,7099,65261,922
epoch_18,uid_167368,2686,2183,86347,65261,922,152081,26614,49530,2918,109487,3148,27317
epoch_18,uid_21772,4105,457,800,1949,2791,7438,91529,2918,67255,88125,1090,1212
epoch_18,uid_176555,67255,47,49530,49272,48394,79357,106916,2502,1223,1079,164179,7438
epoch_18,uid_166868,6957,3996,7361,1303,68157,1232,933,3148,3508,7323,1199,1288
epoch_19,uid_128088,138036,952,2761,265,49530,955,2677,1185,3095,61236,1175,2144
epoch_19,uid_267455,2318,79357,8132,907,971,4995,3360,4327,6539,112852,2502,69844
epoch_19,uid_73381,508,3548,7361,57669,905,7323,1189,40819,924,8228,6380,2423
epoch_19,uid_117628,68157,47610,1500,162,1254,3911,5147,265,1189,923,1704,88125
epoch_19,uid_21453,47,4103,2951,741,1952,4995,2997,1212,508,942,1625,4881
epoch_19,uid_229622,6773,162,2502,5954,1704,2951,1267,4262,4995,7361,1949,907
epoch_19,uid_167368,34437,6380,800,5954,2502,5074,1252,162,2917,1079,2997,2618
epoch_19,uid_21772,6773,5013,4327,2920,55820,1189,4103,942,1284,1247,969,2336
epoch_19,uid_176555,4262,4306,60069,3100,508,76093,4102,99114,3740,48738,1240,8228
epoch_19,uid_166868,914,7156,79357,922,152081,6773,1212,47,52281,1704,3677,1284
epoch_20,uid_128088,1208,1374,1172,95654,40819,1263,3897,8370,2391,91529,44665,1952
epoch_20,uid_267455,2677,5878,1244,65261,800,2729,947,3581,1254,72641,2010,307
epoch_20,uid_73381,1288,82459,1945,91529,1261,31658,97938,47610,1254,81845,1961,5878
epoch_20,uid_117628,1291,65261,1288,109487,2010,3548,53519,5989,954,7323,3252,3581
epoch_20,uid_21453,1196,162,82459,48780,94959,7323,5878,3910,1500,1961,952,3683
epoch_20,uid_229622,31410,2318,55276,88125,3548,2336,3114,265,2010,5147,69844,71535
epoch_20,uid_167368,55820,1219,1953,71535,3910,1797,5878,55442,3681,5690,935,47610
epoch_20,uid_21772,1254,152081,947,307,5147,7099,1147,58559,49272,3246,3681,7323
epoch_20,uid_176555,162,5013,3911,152081,1303,3246,2951,2692,94959,61240,65261,3681
epoch_20,uid_166868,4037,1500,65261,162,1224,34437,2010,1189,91529,57669,1036,55442
epoch_21,uid_128088,1080,800,162,3911,106916,7482,7099,1282,2644,1266,6380,3548
epoch_21,uid_267455,6104,1527,3265,4144,1147,150,508,3095,85774,1704,47610,48043
epoch_21,uid_73381,4144,152081,7327,3476,94959,2020,2686,3897,3265,1257,4327,1224
epoch_21,uid_117628,3095,3265,4105,3307,55276,6773,907,4995,1084,152081,82459,111
epoch_21,uid_21453,3265,1189,84152,4327,3307,2791,2502,53519,69844,112852,1466,1254
epoch_21,uid_229622,1232,1189,97938,1199,82459,44199,1303,3095,2761,1957,1036,2917
epoch_21,uid_167368,1212,952,31658,4144,923,1374,3581,29,55276,108932,4327,48394
epoch_21,uid_21772,71535,1500,2761,2951,3095,6104,94959,1244,6874,68954,3360,1797
epoch_21,uid_176555,1291,2300,599,1284,1374,82459,3677,1189,2391,3360,4995,800
epoch_21,uid_166868,800,55247,3307,84152,106100,1218,741,5013,40819,5147,7099,2686
epoch_22,uid_128088,1682,162414,2318,6773,965,1197,3508,48738,30803,48780,1845,50068
epoch_22,uid_267455,5782,5690,44191,3548,1090,98491,1272,122886,2686,933,3421,2791
epoch_22,uid_73381,6170,720,1036,162,965,4902,916,31410,1223,3246,1080,1960
epoch_22,uid_117628,2686,108932,63876,50872,5878,935,94959,307,2761,48738,1960,1199
epoch_22,uid_21453,933,4902,1960,5954,115713,108932,1232,81845,3317,3095,52281,2920
epoch_22,uid_229622,53519,1080,1147,1224,935,108932,52281,307,1090,3911,86347,1244
epoch_22,uid_167368,3507,7327,6170,1258,3916,2020,3246,2010,63876,4873,61240,942
epoch_22,uid_21772,2863,49530,108932,7327,40819,2183,1270,954,29,63876,50872,81845
epoch_22,uid_176555,53519,1960,1267,69844,969,4902,1288,7156,1954,7256,88125,3916
epoch_22,uid_166868,2791,38061,508,71535,1246,3095,4105,3548,86347,63876,3681,1079
epoch_23,uid_128088,1224,49272,2395,1957,8228,5954,2890,163134,55276,26662,1288,91658
epoch_23,uid_267455,1374,2357,3246,8253,7137,1232,115713,954,6170,84152,4720,52281
epoch_23,uid_73381,3095,1957,1884,3551,165549,1682,5060,2336,44199,5690,2360,1280
epoch_23,uid_117628,85774,49530,57669,165549,106100,7256,26614,3578,1682,1246,44665,1952
epoch_23,uid_21453,1284,110,80489,1265,31658,4105,6242,57669,1945,1247,50685,5782
epoch_23,uid_229622,1218,965,81845,2686,1220,51255,31658,1249,61240,3246,457,3317
epoch_23,uid_167368,1249,1284,1957,1884,3198,72641,50068,26662,4967,51255,50872,8950
epoch_23,uid_21772,52281,86347,61240,1079,115617,741,1340,1945,57669,3548,89492,84152
epoch_23,uid_176555,72641,1266,86347,2761,1282,2863,3462,1394,17,6502,52281,7323
epoch_23,uid_166868,924,935,1272,1090,73,2918,1267,1261,1961,3037,5989,88810
epoch_24,uid_128088,2686,6104,6711,105355,3677,7361,76093,5060,2728,741,81845,969
epoch_24,uid_267455,1288,2183,5292,4873,54259,51255,915,5060,55276,6711,8228,935
epoch_24,uid_73381,1199,55820,86347,955,34437,1232,8910,5292,1394,2917,8370,49530
epoch_24,uid_117628,5782,117533,45081,1957,3476,800,1147,7327,8910,6807,122886,86347
epoch_24,uid_21453,7099,1147,29,6807,5292,969,46578,800,3476,1224,76093,6170
epoch_24,uid_229622,2300,1247,954,4902,57669,1374,1175,6104,5060,7327,2183,2997
epoch_24,uid_167368,1175,115713,6104,80489,1845,3037,2028,5292,48738,1147,4103,78499
epoch_24,uid_21772,4902,2360,1232,6993,2010,1218,935,7361,85774,2357,72226,1036
epoch_24,uid_176555,3503,3095,45081,26614,4326,6350,942,4873,1224,915,44195,223
epoch_24,uid_166868,1254,1235,6170,6,78499,1280,4902,5690,2336,457,6807,115713
epoch_25,uid_128088,1265,17,1939,55052,1028,1238,8253,2300,906,6993,79132,1079
epoch_25,uid_267455,1797,1079,1953,1957,30749,86347,2917,3476,5954,26776,82459,589
epoch_25,uid_73381,1952,954,971,48738,106100,6993,4103,2467,150548,44195,50685,1218
epoch_25,uid_117628,44191,4103,80489,3246,1232,356,2917,2183,2467,1625,2729,78499
epoch_25,uid_21453,6993,935,1374,86347,1175,1288,5989,8645,1968,2183,3548,51255
epoch_25,uid_229622,1288,3476,5989,2357,54259,101,44191,6993,905,1527,1797,47610
epoch_25,uid_167368,1527,2357,104069,4902,76093,3252,6242,150548,8228,2761,67087,1340
epoch_25,uid_21772,69844,110,150,3677,1246,1704,5989,2686,3551,67087,1220,6350
epoch_25,uid_176555,1232,2729,55052,6993,31658,5954,6104,2917,55820,457,4105,46578
epoch_25,uid_166868,106918,2761,356,1953,4873,3910,26662,47610,2729,3551,3476,2183
epoch_26,uid_128088,46578,2997,1232,6062,8645,4967,44199,7160,1196,5669,2511,82459
epoch_26,uid_267455,57669,165549,5673,101,8645,1266,3897,4103,1961,27317,6380,7327
epoch_26,uid_73381,61240,1797,3307,3462,1086,8253,166643,2183,91658,475,7137,1147
epoch_26,uid_117628,1265,920,1218,3462,115713,1961,3100,457,6993,942,1224,589
epoch_26,uid_21453,3246,920,97938,8253,1249,2761,79185,72641,8910,7137,2467,47610
epoch_26,uid_229622,8228,3037,5878,58,3307,7160,6502,165549,6380,8253,26614,2248
epoch_26,uid_167368,3100,1232,8253,69844,3462,907,91529,2857,6993,3307,99114,920
epoch_26,uid_21772,26662,165549,6380,1961,2917,1272,47610,48738,1235,1238,3916,6377
epoch_26,uid_176555,89492,63876,55290,122926,3551,1845,3897,1090,6380,163134,955,1218
epoch_26,uid_166868,4144,8228,2863,1797,4103,1257,6380,8910,5954,80489,965,2917
epoch_27,uid_128088,4103,63876,2729,3421,1938,165549,4144,59387,5292,1189,6170,1244
epoch_27,uid_267455,3551,6993,3677,1952,6187,2336,2360,3629,6,89492,906,4967
epoch_27,uid_73381,6,1244,1198,163134,3421,112852,938,914,3552,104374,3629,3061
epoch_27,uid_117628,97938,6296,44199,6104,905,6380,50068,2357,97304,5060,1945,72641
epoch_27,uid_21453,3551,2010,7361,1235,1957,165549,1291,6104,1246,6440,69481,2917
epoch_27,uid_229622,72641,115713,3551,3897,85774,4873,91658,1086,3910,5782,3421,1845
epoch_27,uid_167368,5782,6,5989,3362,112852,165549,117533,57669,3360,6187,1625,911
epoch_27,uid_21772,4886,1265,915,5292,115713,8228,1957,1845,2729,965,48394,6170
epoch_27,uid_176555,935,2360,2920,26662,3061,84152,5878,1238,97938,115713,1957,6
epoch_27,uid_166868,1957,91658,1244,6350,911,6993,6502,2268,61240,94959,3421,17
epoch_28,uid_128088,4014,1284,6807,61240,72641,3246,3476,1220,942,88125,3360,589
epoch_28,uid_267455,1253,63876,2920,61240,457,1845,150548,8910,55290,2391,3307,8370
epoch_28,uid_73381,55276,8645,2761,1845,1282,52281,1226,5673,1238,2920,345,85774
epoch_28,uid_117628,6350,6,1249,6187,1238,150548,5292,55290,1244,1610,26662,223
epoch_28,uid_21453,1090,6350,89492,63876,2360,48738,1704,68954,1845,914,971,3897
epoch_28,uid_229622,2360,6242,26662,6350,112852,246,45081,63876,76093,55290,6296,106100
epoch_28,uid_167368,246,1282,85774,6350,122886,3551,3476,969,3677,2005,3007,55052
epoch_28,uid_21772,2502,6062,1625,48043,1960,971,88810,3307,80489,1282,2859,920
epoch_28,uid_176555,2467,108932,106100,246,2336,3307,1961,165549,122886,965,1797,1968
epoch_28,uid_166868,165549,6187,6283,72641,51255,81845,89492,55276,44199,1945,2859,2857
epoch_29,uid_128088,53519,115713,8874,89492,106100,3470,1218,515,3096,594,1729,1945
epoch_29,uid_267455,1224,920,1610,3178,6242,921,4105,1235,965,3545,1960,8638
epoch_29,uid_73381,177593,6440,2288,3741,51255,2348,89492,1253,942,63876,4720,907
epoch_29,uid_117628,61240,32,4102,68954,76093,1235,48394,8253,1968,89492,3551,2920
epoch_29,uid_21453,1220,3916,55820,50068,921,7438,3677,954,2729,3581,965,97304
epoch_29,uid_229622,3677,68954,48738,4103,80489,2920,2729,1235,1960,6187,1223,3198
epoch_29,uid_167368,1235,2920,1968,3548,1238,89492,48043,8638,106918,7482,906,95654
epoch_29,uid_21772,6187,5954,1249,921,3037,54259,8645,3252,4016,36,3581,32
epoch_29,uid_176555,921,3548,1220,48774,2183,8253,4014,1963,112852,1244,81591,3178
epoch_29,uid_166868,3916,1960,1298,6242,63082,69844,497,5782,8638,1223,2360,3178
epoch_30,uid_128088,4517,1223,2336,3552,6620,1147,307,3037,2726,2918,1449,52281
epoch_30,uid_267455,3462,1238,117533,2795,246,163134,80489,3362,2467,942,81591,44665
epoch_30,uid_73381,26662,6283,117533,17,906,29,88810,7482,3007,3148,3037,921
