,,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20,top_21,top_22,top_23,top_24,top_25,top_26,top_27,top_28,top_29,top_30,top_31,top_32,top_33,top_34,top_35,top_36,top_37,top_38,top_39,top_40,top_41,top_42,top_43,top_44,top_45,top_46,top_47,top_48,top_49,top_50,top_51,top_52,top_53,top_54,top_55,top_56,top_57,top_58,top_59,top_60,top_61,top_62,top_63,top_64,top_65,top_66,top_67,top_68,top_69,top_70,top_71,top_72,top_73,top_74,top_75,top_76,top_77,top_78,top_79,top_80,top_81,top_82,top_83,top_84,top_85,top_86,top_87,top_88,top_89,top_90,top_91,top_92,top_93,top_94,top_95,top_96,top_97,top_98,top_99,top_100
epoch_0,uid_51695,900,2019,1250,527,1210,26662,1203,79132,858,50,1196,1221,318,912,2324,2571,2959,1193,5618,58559,593,1234,953,904,3000,930,1204,971,1213,33794,1617,2329,2819,49272,44191,5291,750,678,7090,55247,4973,44555,7153,33166,6016,1197,3265,4995,1270,3030,150,1211,1207,16,4993,38061,60069,951,1260,260,94959,3435,4014,933,48780,1276,945,1267,1136,1201,1172,30707,296,82459,50872,55820,6502,1198,91529,162414,3020,2289,5782,1233,1230,905,908,1961,1148,541,1500,3548,6377,3089,356,1278,1262,1200,3022,1960
epoch_0,uid_282217,593,2019,2324,541,1193,5291,3435,1197,457,318,1260,947,1206,164179,1704,1089,1136,1213,2329,953,306,56782,1278,3020,1257,920,67255,33166,50,1246,2542,55820,44555,134130,4226,1960,5618,1293,1276,1203,112552,7323,3246,55247,2571,50685,1259,1303,68157,945,665,2076,6807,73,908,1732,50068,26662,2186,1258,1256,4881,1281,778,4326,720,293,1617,1298,46578,5225,8132,79132,116797,1221,114935,34437,1194,356,2858,3949,1172,2908,892,910,3089,2804,971,1209,935,82459,85736,47,2997,1147,912,900,52281,6957,98491
epoch_0,uid_188391,318,1203,3000,4973,2571,3030,260,858,924,1278,898,1270,2019,4993,5952,109374,293,58559,79132,7153,1222,953,26662,50,4027,1,78499,1250,1258,1617,3435,1172,912,908,1263,60069,1260,1283,1136,2329,7090,2542,969,3897,3360,88125,69844,1230,1304,608,904,49272,5995,750,1234,1211,47,1237,3022,1210,1228,1262,47610,2761,628,1196,48516,1197,34405,1193,910,134130,952,306,900,112552,1209,5291,72226,2028,122886,7361,1198,1233,1527,6440,152081,53519,930,2677,1968,73,1221,1303,1201,1387,1204,4886,68157,954
epoch_0,uid_246431,2959,318,3030,1203,2019,3435,1250,164179,3000,44555,1193,5618,1704,1276,950,904,541,60069,899,4848,50,1256,3022,910,7090,913,34405,7438,67255,1257,2804,1207,1304,1233,306,2571,134130,48780,908,1221,4011,26662,1208,79132,56782,111,898,953,1263,38061,3681,3020,1247,969,68954,912,1172,1259,1200,4878,55820,138036,1211,3508,2843,1278,3360,5013,33154,900,63082,2997,1258,2324,1230,1283,741,1198,1246,307,3095,1196,919,116797,920,945,2300,1719,6874,1206,1188,31658,44191,1237,1234,48516,2819,1949,55247,745
epoch_0,uid_92775,1203,318,2571,2019,1250,1237,910,593,527,44555,953,912,1617,858,678,904,1233,1276,60069,3578,260,1225,924,4973,356,1262,5618,3000,1172,58559,142488,930,50,898,5995,69844,908,3030,1210,1193,7090,3629,138036,900,945,720,73,923,1293,34405,954,1198,1217,3020,950,1207,1270,31410,4993,3089,1283,6016,933,5291,1222,2762,1245,906,134130,1949,2908,5013,1204,665,1213,47610,969,1212,5971,63876,6170,3317,6350,1230,1719,903,3741,1291,4011,79132,2132,110,72226,608,150,6773,33166,63082,3551,919
epoch_0,uid_221239,1203,1193,318,2858,1148,1276,4011,1207,50,912,913,44555,1250,5995,5618,899,1172,1136,2329,3996,720,3429,3435,904,306,1247,2692,527,1267,1208,1949,910,1732,1198,2908,919,908,2019,1237,599,750,7090,48516,4881,296,2918,71535,1304,3000,3683,593,1222,3030,1204,5225,56782,1196,1201,8154,1233,1617,1225,4848,858,903,924,5060,922,923,4878,3730,164179,4327,3508,142488,134130,1228,1211,950,58559,2542,900,2324,2819,1234,1256,1954,1197,7156,79132,109374,1293,260,608,2804,745,3022,1260,31410,1209
epoch_0,uid_148267,1203,1237,5618,1172,3030,3000,778,293,1276,3435,2959,1953,1136,1250,4011,1148,1207,50,1208,1719,47,1446,142488,2132,899,34405,1204,953,5291,741,1193,1233,2186,1211,1234,68237,48516,296,541,109487,904,665,4973,902,2677,52281,1732,1206,1260,1230,1281,4641,1223,1617,8132,1089,3020,86504,1201,1293,910,720,745,2997,2819,908,4902,55247,952,318,1197,48780,1220,2863,1258,3730,67255,1175,1228,1304,3022,2329,3949,31658,903,678,164179,900,6502,954,2571,750,5690,1247,3147,527,1257,55442,2502,4848
epoch_0,uid_26118,1200,1250,4848,1203,1208,1036,56782,1234,912,1214,1732,2686,86504,1207,904,2804,89745,2843,1219,2289,1204,900,1218,3435,3020,44555,908,969,2324,1221,8638,1206,3030,69844,1193,1527,2819,1201,3429,4878,1267,3730,3178,1244,63082,950,1256,2249,899,3508,1276,5618,8132,138036,1617,5291,2395,94959,1254,3061,1136,4973,2000,1797,1225,745,164179,134130,26614,3503,903,32,1961,1304,194,527,55820,1610,1258,162,920,940,5013,1148,541,7482,142488,8370,3581,2019,1293,933,1264,109487,7438,1175,3134,108932,1260,306
epoch_0,uid_175652,5618,1198,908,1203,1196,2324,1193,1262,2289,1222,541,1617,3435,1276,912,1197,318,1259,5291,1228,2019,1237,138036,2804,3022,3020,1204,1233,260,2571,678,4848,954,1250,1214,31658,44555,858,1265,1210,76093,3683,945,665,930,3030,904,1293,109374,920,5995,56782,58559,82459,919,306,1172,30707,1283,3147,150548,33166,750,86504,71535,4262,27741,116797,1729,49272,1270,4014,5878,2020,1207,72226,1234,1955,1028,3100,1200,2908,4103,142488,68157,935,1201,1212,1136,2677,65261,2542,2186,111,608,1260,2502,4037,1278,2716
epoch_0,uid_120855,1172,1148,2150,1223,745,1203,3030,1211,2677,2791,1276,3429,2288,1719,1797,5618,2391,5291,8910,1256,21,2186,3548,103624,3265,1493,5690,1230,910,6993,174053,1207,1060,1228,3083,1394,2511,3508,922,215,720,8961,912,515,4902,5060,902,1269,908,851,1263,2289,920,2130,33779,136562,142488,25,71282,1704,6957,137857,7256,904,495,2183,246,150548,1446,1257,3340,45928,59869,1953,2745,1625,5135,446,1673,7089,954,2189,1267,2132,6331,2610,74727,933,2300,109633,171315,1073,951,39292,8645,923,1952,8042,6787,1678
epoch_0,uid_99370,4878,1172,34405,7361,2959,1197,750,1732,1136,745,50,1250,3030,1225,2329,3435,2997,2186,318,2858,1204,913,1079,947,1193,306,1244,3429,2019,2289,1213,4848,1953,4327,1232,527,903,1276,44555,56782,36,1446,1258,97938,908,2132,2324,55820,112552,3089,2571,265,5954,1211,1201,899,55247,1203,3508,109487,1272,105468,1245,2843,2791,904,5292,1256,48780,900,48394,953,4973,7153,29,541,30707,6807,6380,5618,4262,1221,6104,152081,1148,3949,1233,741,44191,1080,79132,1222,1089,898,1198,1246,920,1263,902,1625
epoch_0,uid_117610,5618,69844,5971,86882,31658,65261,5225,471,4641,54997,68954,7218,52281,531,97938,109374,678,3020,2300,3468,1184,111,2360,2324,106918,5903,68237,134528,2857,44022,1147,3134,1254,72641,53519,2729,947,3267,134130,6618,51255,2132,5294,142488,4967,111759,1256,4888,3435,95167,1689,1944,4517,2633,52241,8376,4903,3061,892,2313,4939,6776,40697,162414,6350,7327,942,57669,2908,3832,52319,88810,3483,1589,5646,2677,150548,81834,2905,4880,940,70208,5826,77798,1273,971,3311,138036,2064,50068,4237,3629,164179,2599,2973,215,55290,3022,26614,1228
epoch_0,uid_265869,1203,1204,1276,1201,1193,2019,2959,50,34405,1172,1206,3435,930,3996,3030,1148,904,5618,142488,296,1214,3421,913,912,1284,3022,1228,1233,1207,527,318,5291,1189,541,3578,1212,265,908,1234,3468,1250,53519,1136,1261,1953,1209,38061,7153,2329,3730,4037,109487,1500,4011,665,72641,1089,910,2502,1260,2186,306,965,55247,1208,2132,79185,2997,2571,1278,1200,720,7099,48738,79132,1198,48780,903,2318,1304,33166,1267,290,8132,593,2324,1211,5971,919,900,1446,1217,1945,1262,750,1213,1247,17,4848,6350
epoch_0,uid_199247,5995,912,1203,1256,904,908,2019,1172,910,899,4881,2289,2132,3000,3429,2324,4327,7090,1247,1228,44555,1217,919,1201,1500,1209,5618,945,6350,3089,2677,913,940,4973,750,1283,2329,745,4641,117533,6773,1304,923,3730,142488,3435,1340,86882,2804,164179,5013,1267,293,933,1233,1237,2951,162414,2863,1704,162,79132,91658,911,55442,1264,599,1235,3360,1199,55276,49530,2908,1257,665,3030,86504,1719,1171,58,1252,1797,7137,2843,54001,2761,1263,3022,1953,1949,1732,3543,1262,7156,7649,6440,1225,5690,1288,89492
epoch_0,uid_128947,1276,1203,541,164179,5618,913,910,1228,2019,1211,1136,1213,923,858,2804,902,2918,68157,3000,1304,1256,2761,5673,1193,4848,56782,899,665,1237,3435,1278,1196,2791,919,750,50,1148,4144,1263,908,3508,1200,260,4993,1204,745,6773,32,1233,3360,3317,912,3030,951,904,7090,1222,111,2288,1247,306,1080,3020,3581,1258,1221,38061,1235,599,1198,162,1219,3578,1214,2502,1283,1259,44555,4251,2324,2289,162414,29,97938,1207,48780,7153,1245,6807,2300,2677,5952,2542,33166,930,2336,940,30749,4641,1250
epoch_0,uid_194844,541,1206,3429,7153,1208,1288,50,913,2858,3949,164179,46578,1394,68157,2324,4973,48516,1207,1291,63876,951,1304,3435,945,40819,4027,1197,3911,665,1225,508,109487,1211,4011,1172,36517,1262,1732,1136,904,1203,3246,150548,1089,2920,92259,4993,162,910,2731,912,2573,8645,115617,2300,2542,56782,1224,8910,2599,122882,34405,86504,1260,1223,920,3503,1234,2901,2997,79357,899,5291,1264,950,2329,2692,106100,608,741,1226,1466,4312,1189,759,4848,922,27878,5225,4881,48394,215,1193,2739,4327,6787,1944,2301,8132,71535
epoch_0,uid_58100,1203,912,50,1250,1256,48516,1211,1304,1204,4973,1089,3022,3030,1276,79132,1196,1278,899,2959,5618,953,44555,1262,68157,2019,1193,4848,4011,318,1222,86504,910,1247,858,904,2324,2858,164179,7438,296,898,60069,142488,1209,1234,3435,3730,26662,1136,1283,2329,33166,3000,1253,1200,68237,900,1267,4963,55247,5291,1213,49272,3360,1201,56782,947,913,3503,930,3429,3089,1212,1221,1704,678,1259,541,5225,954,7090,1230,750,2132,2028,6440,1198,38061,1245,665,1237,2951,110,1394,1254,116797,1446,290,2908,3147
epoch_0,uid_131556,318,1203,1193,2019,904,1234,527,4878,215,1230,2571,99114,1961,364,3548,319,1198,900,953,3147,5013,1446,1221,1233,908,933,912,1293,1617,1210,5618,34405,88125,1207,2132,71535,1262,83134,2959,5995,1204,7327,1732,1291,1214,44555,76093,8638,1208,1172,1217,2692,3000,1245,2300,5291,2064,293,2858,55442,508,260,1199,2324,2359,63876,58559,4881,903,2028,923,223,2677,6350,3435,3030,1845,2329,593,106916,1196,3916,2804,608,68237,1206,1131,3897,2542,3022,1283,2863,47610,109374,6,3949,910,2186,55276,4973
epoch_0,uid_167980,50,296,1203,1732,1136,3435,1260,1276,4848,1211,1250,4878,541,593,745,1148,1234,2571,1212,908,5618,4902,2959,1207,912,5291,3429,1204,2028,3030,55820,4226,1193,2288,3503,953,6016,3000,608,7361,2019,1263,1221,1278,7090,1245,1247,1214,1200,50872,1213,1233,3996,900,318,750,48780,945,1201,3730,904,8961,2804,1222,2542,3681,2997,6807,1291,2918,858,589,2324,947,71535,1249,446,913,2677,1089,3462,306,1209,31410,48043,1237,1230,1262,954,3020,4037,1090,44195,111,1257,88810,1304,4014,60069,48516
epoch_0,uid_205977,2019,1276,58559,5618,2300,2324,1250,67255,899,1203,52281,1197,912,2761,919,73,79132,2542,2804,2318,7090,950,902,908,3030,1207,49530,33166,750,116797,953,1264,3198,4881,1254,50685,1270,1260,34405,3916,138036,2268,1148,4327,930,3683,3020,1957,56782,1298,2762,1172,3000,4011,2959,2858,541,508,1617,1210,2692,5826,2360,49272,904,935,98491,2750,448,1175,1961,60069,2908,903,2918,1230,1262,1204,72226,969,3360,91529,84152,63082,71535,1211,3949,3022,3429,2249,1283,67087,4102,3134,86504,134130,1263,111759,898,1500
epoch_0,uid_99817,608,4973,1172,1276,1203,1237,3030,8132,142488,908,296,778,912,68237,5618,899,50,2571,1245,293,1446,2019,44555,4011,1204,3730,2905,3435,1207,1260,3949,34405,1228,953,1230,47,1206,947,910,1293,6807,1303,2132,1256,1250,4027,215,5291,1267,2324,3740,954,903,1222,3421,134130,5013,2761,1500,138036,1732,541,3252,1209,86504,3147,112552,69481,527,940,45081,7090,2959,904,2289,106916,1198,913,1136,67255,1233,1953,905,2329,745,69844,3551,55247,1221,1089,930,55442,665,909,6003,6242,8638,1954,71535,5954
epoch_0,uid_16287,1276,1203,2959,541,67255,2329,260,3435,2571,919,1172,858,1304,7153,2019,4993,1136,2132,88125,2324,44555,953,4878,48780,1193,3030,1211,3681,4848,2819,1250,1204,3020,79132,38061,1196,1233,1230,6773,5225,68237,7438,2502,7361,593,4641,109487,900,1953,5291,1225,2289,142488,5618,2542,913,3578,26614,1089,112552,58559,1227,1206,61240,1221,908,665,1256,3949,3317,2762,1625,1283,1210,134130,1732,54001,1374,3000,5673,904,3022,2318,6874,5952,902,969,97938,1500,319,2804,920,86882,3581,56782,7156,3061,933,34405,1213
epoch_0,uid_192124,1148,908,1228,3030,1201,1203,904,1172,1250,55247,318,541,1304,745,68157,48516,1276,3435,50,912,4327,951,3000,1264,913,1247,1211,2858,3508,1230,2019,68237,903,1207,1223,945,1193,4011,164179,2959,1256,902,1208,4973,527,1222,67255,1197,1259,1288,1204,3360,2329,44191,665,1267,1234,1175,5618,296,2186,900,750,2324,1394,1719,4995,2804,446,1263,53519,1262,2395,47,3468,1136,142488,6283,116797,2947,3996,29,1233,2336,858,26662,5013,910,34405,969,5225,778,6773,1500,1704,6502,3681,4848,109374,58559
epoch_0,uid_176713,1276,858,318,2959,296,1203,5618,2019,50,67255,1198,908,1221,899,1262,6773,900,1193,1172,923,665,2858,1250,1204,1136,2132,260,593,2329,1207,109487,904,1247,608,1264,2300,1214,61240,541,5995,1304,902,1233,912,1257,3000,3030,1278,1213,7090,4144,2804,3503,1446,4848,86882,1500,922,55247,1208,1211,1283,2324,7153,2571,1201,1249,778,293,6,1282,3949,44191,1200,945,1291,745,1222,6350,6993,1089,47,4995,1230,1225,40819,913,319,2819,1197,3020,1281,1237,56782,58559,2692,1228,1234,2731,954
epoch_0,uid_130144,1262,1198,5618,48516,260,541,919,2019,1233,3435,899,904,858,3000,908,1304,318,1197,1204,1276,1196,3022,1193,2599,1446,3030,1617,1283,741,1201,1250,3730,900,750,1175,2644,4973,5952,1209,912,1222,1203,6016,778,1252,1259,940,3683,1237,3429,745,2329,446,31658,930,1211,913,903,4993,1221,2186,86882,5225,56782,1148,2686,2183,2360,3307,1234,78499,1228,945,116797,1172,7153,1089,922,1136,800,5971,1189,1225,2731,152081,1036,1260,1214,1218,1957,101,1293,5291,947,112552,1254,2762,1256,60069,1219
epoch_0,uid_132969,778,4993,260,5618,1250,5952,7153,1198,50,3503,4995,1196,1262,446,904,2542,4973,3429,134130,1147,919,947,1580,4027,5995,914,112552,2329,1226,1111,2395,1209,628,899,971,49272,60069,2318,1237,3435,903,1845,4011,290,2686,5782,79132,2571,1214,1259,3265,93721,1233,1234,2300,1256,5013,2791,608,1230,47610,1304,1291,1270,3468,56782,745,5292,5225,1204,5673,6242,5954,7361,48516,106918,678,969,61240,4873,4967,31410,1222,4848,58803,5690,2739,4641,57669,2908,55290,3317,58559,6502,4262,110,1224,114554,906,541
epoch_0,uid_271816,2324,1203,50,1221,2858,858,318,6016,912,3996,1250,678,1262,908,4011,593,2804,919,2019,3681,1233,1212,750,1214,3435,950,3730,1201,1222,2959,86504,58559,1732,1196,1193,1260,1949,1276,5013,56782,7090,55820,900,4878,2289,265,1617,1234,1211,40819,1213,1200,4973,1228,608,33166,1225,930,1209,2542,71535,3134,1265,2329,5618,3030,5673,3508,26662,1230,296,899,5225,306,3020,599,4037,913,260,80489,7156,55442,5782,49272,1136,2692,3897,1206,5291,1237,1264,6711,7445,2571,1210,89492,32,2997,5060,26614
epoch_0,uid_95564,1207,2324,2019,58559,318,1203,527,912,1148,3000,5291,5618,913,2858,4878,2329,750,79132,908,1197,73,3360,5013,50,1293,2542,1276,919,1213,142488,3730,1246,4973,1204,904,60069,930,49272,2997,1176,262,7153,922,2132,1136,1259,665,56782,2959,1200,1960,903,1732,1264,7156,5952,1617,47610,30707,67255,3435,3022,3429,1230,5995,899,4993,33166,68954,44555,138036,8132,608,1250,1217,3030,1244,7090,164179,1147,2180,1234,48516,4327,26614,1196,933,1625,1283,588,115617,111,2686,6502,508,5878,30749,2908,1208,89492
epoch_0,uid_28131,318,1196,5618,541,260,50,1198,527,1203,1262,3435,2959,2019,1204,2571,3147,3578,1250,930,940,1211,7153,3000,1237,1233,1222,3022,1732,858,900,1209,1193,1136,2324,1221,3134,68157,109374,4993,945,1466,164179,1228,112552,3681,2300,593,898,908,47,1213,2028,296,150,1446,1201,750,6807,152081,3429,5147,40819,924,912,27660,1270,5291,899,7156,91529,2819,2858,7099,293,950,947,79132,1197,599,1260,48516,4973,904,1199,4251,1283,1036,678,1148,1259,1210,3740,2329,3548,306,933,44555,4037,48780,122886
epoch_0,uid_143440,50,2571,318,899,1221,1276,1136,1210,1250,527,44555,7090,3683,858,68954,5618,296,2019,1193,1283,910,1203,97304,1845,1036,912,55247,1089,79132,2132,589,1500,1201,4973,3030,1197,904,1196,1233,38061,3671,134130,4995,1293,950,1270,48516,906,457,1220,47,67255,5954,152081,1222,2692,1446,1298,3020,1260,50872,49272,27773,3435,1243,3147,34405,97938,1172,1214,908,154,150,1213,2804,4848,3681,165549,79185,4105,1211,3462,1212,5291,3703,4011,1200,48780,58559,356,57669,1234,1278,31410,26662,593,363,2336,6957,4881
epoch_0,uid_208322,318,593,1203,3030,50,665,4993,527,1207,79132,2324,27660,1172,898,904,2019,2959,2762,608,73,306,260,49530,1276,5618,7153,1293,34405,3147,3000,1617,3429,110,1193,4995,138036,1211,1283,44191,1270,1185,58559,1214,356,541,913,109374,910,1196,4226,5952,48780,162,1250,1278,899,109487,903,1260,908,1797,1233,2804,142488,457,1961,800,1291,1254,4327,290,508,71535,67255,2183,1136,5291,1222,1217,951,3020,1845,3740,1237,1213,49272,1259,2761,33166,293,1262,2571,750,1704,2542,89745,1301,48516,40819,92259
epoch_0,uid_75400,720,903,969,3022,1223,913,58559,1219,6773,1148,1089,116797,2997,4312,79357,1931,665,92259,48738,940,33166,2797,904,6350,1276,1953,4327,7147,50685,48774,134130,71838,37741,36,745,2321,1235,73,3000,2443,194,4641,1923,1193,497,8132,1617,91500,541,2664,2858,8961,3301,1500,290,53519,34405,2599,67255,307,104069,2686,1175,3819,117438,1303,68157,1216,5995,892,2078,1199,2920,5618,3468,3730,965,27850,2918,79132,262,94959,8973,2738,930,43917,1226,800,3307,3007,177593,1224,4857,1954,3508,50,741,1073,2357,2318
epoch_0,uid_1049,1276,1148,2019,912,5618,318,4011,3000,1213,50,904,1193,913,910,1234,2329,858,541,3030,1201,2324,164179,1089,1197,3468,908,3022,750,1207,2132,1259,79132,2918,7153,919,3730,527,60069,142488,1256,1209,1211,1262,745,1203,1217,1214,111,44555,56782,1293,2542,48516,5013,1283,3360,902,4973,1704,2858,7090,33166,593,65261,446,3020,1235,1136,44199,2959,741,4993,2677,8132,55247,900,950,68157,3435,930,4878,2951,4027,58559,4995,1175,1208,1278,1263,1172,1257,55442,1200,73,86504,7099,1188,665,49272,5995
epoch_0,uid_112436,1203,34405,318,4034,930,947,5618,1254,457,3089,2183,599,1185,50,1293,3897,6350,150,1089,1207,116797,2186,728,3996,953,1262,2948,5152,2318,7099,3468,3730,49530,55276,5954,134130,4881,1298,1446,6242,109374,940,454,2076,58,5291,33166,112852,1953,6565,82459,4306,111235,3020,3160,6333,58559,1214,1028,1261,945,1224,63876,1596,1086,134853,44555,2959,3681,6218,6,665,1939,55247,48516,1283,1885,77154,38061,920,50685,117438,2249,902,2329,2268,72226,8917,8132,5971,1222,778,43917,98491,915,53519,51662,59369,8254,55444
epoch_0,uid_150562,1203,1276,858,1197,3000,50,750,4878,1211,3147,4641,164179,4995,2329,953,318,1732,541,1201,48780,2542,69844,5291,5618,3949,951,1222,47610,922,73,904,3508,1960,1704,3578,1207,930,1929,1237,5989,678,900,6242,1090,115713,1208,6440,79132,4327,2186,1256,910,4848,63876,293,3548,111,3476,1257,1301,908,1233,5013,945,3265,5225,4973,7156,1234,134130,7090,1303,903,319,60069,4102,1884,1281,5954,5446,665,86377,778,608,44195,109374,1260,1171,84152,5690,899,3503,1089,48516,25812,1283,1267,1304,1945,3959
