,,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20,top_21,top_22,top_23,top_24,top_25,top_26,top_27,top_28,top_29,top_30,top_31,top_32,top_33,top_34,top_35,top_36,top_37,top_38,top_39,top_40,top_41,top_42,top_43,top_44,top_45,top_46,top_47,top_48,top_49,top_50,top_51,top_52,top_53,top_54,top_55,top_56,top_57,top_58,top_59,top_60,top_61,top_62,top_63,top_64,top_65,top_66,top_67,top_68,top_69,top_70
epoch_0,uid_51695,5618,296,1276,912,541,2858,904,903,908,2959,1172,750,1617,608,1148,2019,1234,50,1203,1204,7090,2324,1260,1256,1201,1197,33166,3030,1237,318,2542,1233,5291,1228,1211,924,99114,1303,68954,1175,60069,3435,1213,665,1250,1089,1193,215,922,1136,3503,678,940,1283,2132,858,3000,55820,56782,86504,306,778,1293,6016,3996,44555,162414,1222,4848,2289
epoch_0,uid_282217,2542,3949,2571,4226,3435,4878,2329,48780,2019,1203,599,2858,1211,1221,44191,7361,47,7090,904,115713,1209,945,1206,1276,950,1260,50,109374,1230,940,38061,903,1834,2762,924,5291,2324,908,1250,5669,5618,162414,2502,935,3429,5995,2336,7327,900,4902,1193,68237,3536,1233,45081,6957,117533,4720,112552,6539,1257,1227,31410,942,6016,1259,1293,3030,34437,1217
epoch_0,uid_188391,541,912,1172,5618,1250,318,858,50,1221,1233,1207,4973,44555,1222,1203,1197,2329,1136,904,3508,1446,3000,48516,908,2324,900,1259,3022,1193,913,608,1204,7090,1213,56782,599,1265,1276,1283,58559,1211,109374,1230,4848,260,923,531,7153,3030,85774,49272,2019,2745,899,1256,3089,2858,3265,6957,1260,1304,720,1719,1225,162414,750,30707,1148,1228,3147
epoch_0,uid_246431,2019,858,1203,1221,318,50,1262,49272,904,1250,1172,2324,1230,44555,1207,3030,1211,1276,908,5291,1196,4973,2132,1198,1258,1193,33166,1283,953,5618,1237,142488,30707,1234,86504,1233,910,1200,6377,6957,4312,912,76093,356,508,3429,940,4848,1278,1209,1210,6,1260,7090,1247,903,4011,1267,1303,8132,678,1222,306,541,1204,2959,1617,1952,1256,1225
epoch_0,uid_92775,1250,4011,2329,318,1203,2542,1209,2132,1257,4848,50,593,2959,1222,1197,1276,44191,1262,3435,2019,527,4902,356,2249,2762,4878,2804,7090,85774,3147,5995,2819,4105,1210,2300,1237,79132,1278,1221,912,1283,1193,65261,1172,7137,1259,68157,920,3022,1230,1201,48780,1284,7084,5147,5291,1234,908,1089,1220,134130,4993,945,2395,1617,60069,1682,81845,4312,38061
epoch_0,uid_221239,1172,1250,4848,4973,904,908,44555,3000,5618,306,1203,3022,953,3030,79132,138036,1260,1233,2329,1682,912,1256,3147,1283,2019,4641,55290,593,1148,903,1262,2804,84152,177593,608,2843,1204,1704,1237,527,56782,678,8132,48516,1617,1304,750,3114,2324,109487,3503,293,3897,1136,2858,2819,318,745,68237,508,4878,60069,1132,2289,1234,2633,1197,55442,1276,1207
epoch_0,uid_148267,4973,1233,1276,2019,296,1234,4848,858,7153,318,3000,4993,2132,1207,904,44555,293,3578,3508,3949,1172,2762,4226,1211,79132,908,2959,2289,1203,527,1500,593,162414,4878,1193,5952,910,7099,4995,2858,541,1197,109487,2329,1262,1,599,1267,1221,913,3429,60069,2324,50,1219,1293,1204,3435,678,900,1732,3147,933,954,1250,1225,1237,1617,919,134130
epoch_0,uid_26118,110,260,52281,3089,55290,3503,1617,4973,1036,1136,1259,2019,904,1267,1233,2289,950,527,1197,2249,84152,1211,3360,307,1172,1797,3307,4848,69844,6016,8638,4312,1961,912,8910,2288,109374,2010,3252,4327,678,1200,8132,2819,593,1960,1217,541,81564,4037,1234,1221,290,136449,1230,1214,106100,89745,2132,1193,27831,3007,1250,2804,589,134130,938,900,908,1968
epoch_0,uid_175652,904,5618,1193,1200,953,1234,1203,541,2819,4878,912,1201,919,3030,903,2571,2959,1136,86882,2329,2300,1198,307,2542,1250,1256,2858,2019,79132,3429,5971,4848,4312,750,741,900,4011,1283,5147,1276,7090,3503,2324,1221,3677,1207,1262,2010,3435,44191,1225,1197,33166,899,2918,2289,1209,84152,1222,908,1233,1211,293,3022,588,910,111,48516,1945,1237
epoch_0,uid_120855,246,908,930,1207,912,66097,515,1148,720,3000,1073,5291,4523,1244,1542,913,745,3317,3897,54190,1172,910,4967,3030,2511,1250,3176,3543,1057,940,1245,8784,6016,4902,5225,1223,2186,899,2391,2132,3265,52241,1719,1282,58,44195,1185,2318,1953,5074,1189,6296,1204,8207,1263,2248,7450,1256,599,902,3481,1635,7484,922,6104,3362,1197,55247,63876,1287
epoch_0,uid_99370,858,3000,908,4878,2019,2959,1262,1206,4993,162414,2329,1222,1193,48780,1304,2542,1237,1276,1197,3435,5291,56782,50,2132,903,912,1172,44555,4848,527,1136,1201,1204,1208,5995,1221,1259,900,1207,7090,919,2804,1209,7153,541,293,306,1953,2186,4902,1233,2692,2300,134130,1203,923,265,1230,3578,2819,112552,290,4973,55820,3147,3020,778,1257,152081,2863
epoch_0,uid_117610,2324,3949,2920,101864,900,162414,61240,1949,8910,55247,5690,3307,3089,2729,7323,2329,2391,905,6016,116797,1689,1254,3267,166643,945,549,54999,1125,5013,70687,2618,48744,122926,4144,2351,2336,2905,5618,2843,109374,955,68237,55820,556,79132,44555,69844,47610,3435,4027,3429,39444,7156,3020,5971,138036,968,111759,49822,6773,80363,156387,57669,142456,81788,1297,4878,4373,6170,66371
epoch_0,uid_265869,318,527,2959,1234,2329,50,1203,593,1276,260,1270,480,2542,5618,457,2858,4878,3000,1196,3020,1250,1256,2571,1200,364,38061,1136,1193,1262,1527,1197,3022,1233,4262,79132,27773,1264,1260,4226,4995,904,1228,919,1209,296,900,48516,3503,58559,1172,112552,2804,1235,49530,1732,2908,1210,110,1446,7153,5989,4312,541,4848,3683,778,1237,4973,2010,2791
epoch_0,uid_199247,4973,912,1172,2019,1263,899,1203,5995,1209,1278,1211,2324,1219,4037,910,1281,2804,306,1233,1201,1237,745,1252,3730,1217,5291,2132,1189,1500,2908,1719,164179,17,922,7090,1304,44555,665,54997,265,6773,30707,1262,6957,92259,1446,4881,1260,945,5618,27878,101,1175,924,3000,2289,3435,319,8645,4720,898,1256,88810,923,908,3265,7256,116797,750,1086
epoch_0,uid_128947,750,908,50,2324,1234,1201,1193,1203,665,1250,1136,912,33166,899,1260,56782,924,900,1617,858,1276,904,5618,1197,2843,2804,1228,1208,1204,4011,903,1225,111,898,1221,1262,3681,2132,68157,3435,3897,2951,68954,44555,3911,4027,940,446,950,2502,60069,44199,152081,1233,68237,319,541,2019,1263,1172,2300,5995,1258,1148,6350,3030,1189,953,31410,1219
epoch_0,uid_194844,1204,1203,608,1201,91658,1136,5291,318,6773,44555,265,912,79357,2019,50,5618,2804,6016,922,1704,665,27790,1219,7137,2324,1719,1262,1193,741,4312,1172,1284,1197,527,2692,4973,55820,1257,4848,1250,905,1732,2858,4262,68237,3095,215,1213,2109,3000,1211,49272,1224,1259,2788,1090,800,2020,48394,1249,1208,1209,933,109487,1222,1276,57669,50872,1267,900
epoch_0,uid_58100,2959,5618,260,1237,50,1204,1203,1276,1193,2019,1233,908,1196,899,1258,3000,2329,1198,1206,1230,912,48516,1250,306,3030,1262,858,1136,296,2858,1446,778,33166,1201,2324,1211,2908,527,541,30707,593,53519,950,4011,5995,1232,750,3147,5291,318,4848,903,1293,7090,109374,1209,1234,1222,1172,945,1199,44555,2804,142488,919,3089,68237,265,1090,2692
epoch_0,uid_131556,4848,1172,1203,5618,318,527,904,1207,2019,858,306,1196,922,2132,2186,4973,142488,1193,1617,1276,1234,541,2289,593,44199,1250,260,58559,912,908,2329,1136,1201,1293,79132,67255,1237,1256,910,919,6773,1211,2858,1197,1089,164179,1225,73,1148,4011,1214,1219,2804,88810,2324,1208,48780,5952,5291,1260,7153,1222,1198,2791,4993,778,8645,1394,162414,5782
epoch_0,uid_167980,1208,1203,912,904,750,1250,899,3949,4848,50,1136,2324,908,48516,1276,1197,5618,1204,1207,858,1234,665,91529,1201,306,2858,33166,1446,1233,919,1256,1172,1148,3000,1193,79132,293,4011,48780,2019,44199,2300,902,68237,969,2289,164179,1249,1617,32,2318,2329,1214,67255,3198,3683,2959,2804,903,4312,82459,4027,953,60069,166643,4037,1264,5995,68954,1284
epoch_0,uid_205977,1207,541,1197,1203,904,5618,1250,3671,55442,733,1230,1281,908,3435,2019,2858,4011,2132,1225,1148,2618,1265,750,1293,912,1193,1527,1234,2186,1200,6957,1228,2300,8961,61240,608,33794,7090,1291,665,4848,1276,1264,3508,919,3000,4027,2542,106918,922,2324,1080,1256,86504,4312,5878,5218,162414,49530,8645,109374,1077,58559,8254,2005,3148,969,1303,3007,940
epoch_0,uid_99817,904,1250,912,2019,1203,33166,527,1193,91529,1276,1136,44555,750,3030,1172,2324,5618,1222,48516,908,4848,1207,1257,306,67255,318,364,508,2918,1197,2858,2318,1234,953,2132,3681,1247,903,55247,1230,1283,1089,5291,720,1262,898,1204,1303,7323,4878,4027,3435,1957,1260,116797,1704,922,3089,1221,215,1610,2289,1225,1293,2819,1304,3503,50872,3360,6773
epoch_0,uid_16287,1204,912,1276,1250,4848,5618,3030,1222,908,1293,2186,1172,904,2858,4037,48780,920,48516,1206,3147,112552,4973,1203,2289,1260,599,750,2318,1207,3435,7099,2019,1171,152081,900,56782,2959,2542,2863,1237,1211,898,2132,1201,1233,1208,4011,910,1283,541,6773,1234,3095,4641,902,5291,5995,134130,913,4902,3000,954,1176,5971,858,720,2819,4327,916,68237
epoch_0,uid_192124,904,912,50,3730,318,1148,1204,1234,1203,1276,1193,541,5618,1136,2324,1260,44555,908,5291,608,1230,1089,1293,1257,2692,215,4105,2329,923,1201,2858,2761,2289,4848,1207,1225,7090,1224,903,56782,2019,1172,48516,60069,1617,1264,1957,2318,1304,1197,1209,3435,750,33166,3996,3683,162,85774,599,900,1250,4027,116797,527,1228,1256,913,81845,4993,67255
epoch_0,uid_176713,1193,593,50,318,2571,1258,1230,296,527,2329,2019,260,1957,1210,1262,2959,899,904,4993,1270,1250,1203,1200,33166,2324,4878,44555,1233,7153,953,1234,7090,858,919,79132,1221,1276,2010,1198,1240,912,2132,908,1196,1136,2858,900,134130,1283,2677,6874,6350,5971,3147,3360,88125,34405,1209,3730,1260,3435,60069,1089,6377,508,4226,2804,109374,48516,1257
epoch_0,uid_130144,1207,1203,904,3022,912,4848,541,318,919,79132,2843,1089,5618,1276,930,1233,2819,2324,4641,2318,2289,4027,33166,527,4011,262,55247,908,306,4878,32,1211,1193,1257,4312,111,6993,73,1466,49530,17,1446,2959,2858,60069,1283,2329,1682,913,3134,3030,1278,969,903,1220,2028,2132,1172,915,7153,4873,2019,2664,3147,57669,4973,1250,34405,5995,5147
epoch_0,uid_132969,1172,910,904,5952,5954,1211,7153,1233,4973,2329,1263,4226,319,1207,4878,44555,1217,1148,3949,4993,900,1719,50,162,48516,68157,2686,56782,3000,109487,3468,952,2010,7099,40819,26614,1250,908,4848,4641,3959,5291,73,3683,4312,61236,1185,541,3730,5292,48780,142488,1234,8132,1304,919,4235,5995,3265,2336,3246,1956,1272,912,1446,6299,1204,1260,91658,1625
epoch_0,uid_271816,593,2019,318,2329,3000,608,1276,1203,4993,1136,527,1198,1193,50,904,2804,541,1233,908,2858,1148,858,3730,4226,750,2132,1196,912,1260,1221,898,913,296,5952,4848,2324,1172,1207,44555,79132,1211,4327,4878,1234,60069,58559,1278,2959,111,899,106918,86504,1209,1617,49272,3147,1281,1264,1201,5618,3429,1197,2843,1949,1283,1732,678,79357,1225,7153
epoch_0,uid_95564,1203,1197,1276,2324,318,2019,1233,2542,5618,1211,1250,908,1230,1234,68157,2132,3020,1500,912,86504,44555,5291,750,2959,3030,7153,1209,1201,106100,56782,4993,1237,50,1207,1259,3429,4011,541,899,2329,34437,4327,2858,3000,164179,599,85774,1260,4848,945,904,1172,1213,954,2289,665,1284,6957,26662,4878,1293,1270,900,1148,951,2300,2804,1304,29,7099
epoch_0,uid_28131,1211,50,2289,1203,1260,608,1172,750,2324,1201,5618,1250,1207,541,908,1197,1237,1256,2019,2858,3000,2804,930,1263,44555,912,2908,1276,1617,3503,3730,49272,904,4848,48516,79132,2918,1249,1233,33166,6016,1089,1682,1265,3022,1225,8645,2905,86347,3089,68237,1293,2329,86882,1204,2395,1209,1234,55247,3317,32,99114,593,3435,68157,1223,1259,1446,6796,318
epoch_0,uid_143440,1221,2571,3578,858,1276,3000,3030,306,899,1213,1233,4848,1250,1258,1193,924,5995,3020,1203,910,1210,7090,3468,296,1230,1259,2132,2542,2019,4027,908,5971,3089,318,44555,7153,2028,954,2289,3435,3730,48780,5291,4973,5952,69844,7323,1175,3429,1262,2745,4878,307,913,88125,44191,94959,5618,3508,109374,599,26662,1204,142488,951,953,923,2692,665,1222
epoch_0,uid_208322,50,750,2324,1250,1203,318,1617,1276,908,296,1193,1204,7090,541,1230,1233,1136,56782,2132,1089,1237,2019,33166,1262,1228,1220,1197,5618,858,1208,4848,899,5225,1214,1172,1196,1148,53519,68237,912,1175,2289,1732,1221,2918,4011,1201,1446,34405,1225,1256,913,1293,1213,1222,1207,1212,2908,3996,527,919,1200,1209,3030,924,49272,903,3134,3022,1263
epoch_0,uid_75400,48516,904,1260,1148,73,40819,2804,1234,1219,6016,1201,3000,2858,49530,1211,3408,215,91658,5291,5618,903,72998,46578,4878,34405,3470,67,3819,3252,116797,50,142488,947,2920,27857,2542,140110,31658,68237,3681,6773,96588,145935,82459,2329,950,5013,5878,1200,2788,112175,930,86882,7360,68358,1281,8914,4022,1176,6218,905,2917,3147,3677,4880,11,2390,72167,3435,65188
epoch_0,uid_1049,899,50,5618,908,2571,1196,3949,4011,3020,1193,1276,919,1250,2324,1203,541,4641,858,1204,3265,1197,1198,1228,4848,1201,954,930,5291,55276,68237,44555,945,1220,318,1214,750,306,665,5995,2686,2132,111,2019,2289,1233,1234,2329,2692,166643,7090,1207,1259,1446,923,1230,589,3508,29,913,2318,1089,527,1263,2908,1136,67255,745,1036,34437,912
epoch_0,uid_112436,5618,1089,1200,50,2918,318,7099,55820,1220,30749,3916,65261,49530,2329,33166,6957,8961,81845,1466,1214,1172,82459,2064,1258,1254,1625,150,2183,85774,1125,2959,5995,1446,52281,953,36,1945,1356,96588,3508,40819,40629,1213,48738,180,88810,106642,48516,900,179133,91529,30810,1090,86504,1211,2511,945,76093,55290,34405,73323,49272,7624,6350,3275,1293,26776,2202,1209,1222
epoch_0,uid_150562,858,318,1221,50,5291,1250,1203,1214,4973,1208,49272,4848,7090,899,1222,2019,48516,1304,910,2542,3996,1262,3949,2951,1276,1207,4327,2857,904,34405,778,34437,3030,913,6016,5225,955,306,908,1233,2329,1884,488,2692,541,1204,2336,44555,930,1234,3114,293,4027,750,900,2289,1259,1200,720,599,319,1249,1201,68157,1237,2467,38061,68237,1256,61236
epoch_0,uid_214234,3000,912,4848,1250,2019,2804,5618,44555,1207,2132,904,954,1234,969,1203,899,908,1276,907,1230,953,3503,1204,3435,1258,2329,2959,945,951,1200,86882,3030,49272,919,903,665,1237,1172,7090,306,900,910,1197,750,3252,1238,1193,5971,1198,5147,1219,1136,31410,1262,2324,2318,741,50,1256,5878,3134,79132,109374,4641,26662,86504,1293,7323,4312,67255
epoch_0,uid_238979,2571,1172,1204,2959,1211,1237,1276,3000,2019,1260,1250,908,858,1206,5618,2132,599,1233,903,2542,4848,44555,134130,2028,1203,900,1209,162414,47610,912,945,296,1625,4011,2324,50,1293,4037,4993,3578,778,1953,745,48780,1175,2858,1136,4878,81591,3252,3147,2329,940,904,7209,678,246,5971,1234,44199,306,3429,924,1,53519,3551,1256,1262,1617,3317
epoch_0,uid_101768,1206,306,1193,858,904,1204,1203,912,1258,5618,296,4848,3435,778,908,3030,899,50,1262,541,1250,599,1208,1212,7090,2019,2318,2997,1237,2918,112552,4011,2324,1225,1276,265,1234,1209,1201,1148,3246,910,4878,1260,2692,1089,2908,34405,924,4641,2132,5225,3949,1228,1221,1136,1884,1230,913,1256,7649,903,1211,1207,162414,1222,6773,2951,1293,3147
epoch_0,uid_82109,593,527,50,750,296,1193,1233,1234,4878,5971,900,1201,8645,904,2028,31410,2762,2324,924,7090,1207,1225,1228,4995,858,969,318,953,1258,55442,3578,608,1237,4226,111,142488,1203,2843,1276,53519,3508,899,150,47,6170,1263,319,2132,1172,92259,3022,2791,72641,33166,1617,914,1256,1230,109487,91529,1208,1131,4848,1267,1224,7482,919,48043,912,152081
epoch_0,uid_20804,912,1203,2324,908,1276,44555,3578,904,1136,1213,260,7153,50,1233,5995,3000,356,5952,110,34405,1293,1211,306,541,1291,4993,91529,1257,1197,1260,1230,900,922,446,750,1207,2019,1234,1259,1172,3030,134130,1148,2329,2289,293,4011,1209,945,47610,1256,1617,5618,3730,48780,1250,1214,1222,1263,4973,903,1304,5291,142488,952,1237,319,2905,4880,1262
epoch_1,uid_128088,3429,953,2797,4312,49530,8132,1214,952,86504,903,5291,319,1249,2183,34405,907,6,750,2186,290,1262,48516,1303,3435,2019,1283,88125,55276,3360,1260,899,1304,3681,5989,97938,1527,265,1080,31410,5690,50685,49272,1206,1257,933,7482,2819,54997,56782,2020,1193,1226,2633,1230,27741,4103,1227,2542,5959,3089,1246,4037,112552,3307,1235,2357,5878,4641,1245,1207
epoch_1,uid_267455,750,1207,1172,91529,945,930,1208,1201,903,3089,1256,1260,1211,306,5225,1148,44555,2951,2329,3503,5291,4312,4027,1617,38061,1214,6,1080,6807,138036,7209,2186,2819,1291,4011,7090,40819,97938,215,5995,134130,2010,4037,49272,55820,162,3429,1189,1283,48738,1222,923,61240,720,30707,933,2249,940,1278,1304,3435,5013,900,7327,1230,1704,1960,3581,7156,3317
epoch_1,uid_73381,5618,3730,1617,858,5291,1214,1172,142488,1193,67255,1446,162414,5225,1225,7156,138036,3022,919,73,86504,1719,1136,4881,2857,4641,33166,53519,3468,541,3317,88125,1304,3134,945,2324,1264,112552,4878,1222,134130,290,296,913,938,1293,1228,109374,5995,1960,6170,1259,61240,69844,3503,1303,1945,52281,79132,4973,920,1278,1204,1200,593,5971,1080,48516,952,678,1625
epoch_1,uid_117628,2186,903,2843,5291,1250,922,1204,1446,68237,2863,1198,1260,3508,33166,1256,678,4312,1148,1303,3022,4878,665,1197,950,3730,7099,7323,3429,73,1228,2918,919,306,3317,4027,5673,38061,3020,593,40819,904,319,2858,1209,900,88125,945,44199,142488,162414,152081,3468,5971,2791,1257,1500,3949,6104,6773,1293,1719,91529,4995,3095,1090,913,26614,457,7256,4993
epoch_1,uid_21453,1136,1203,2289,945,5618,665,2324,3996,1148,2329,750,1204,1211,7090,1446,2843,4011,1080,3022,745,3730,1617,2918,4878,49530,162414,1209,33166,1214,1217,593,1196,3503,1278,3468,293,86504,741,3020,950,215,4027,1222,1267,48516,111,1206,17,30749,30707,1732,1284,1288,900,1208,720,6104,47,55820,1147,903,40819,112552,73,2762,106916,48394,31410,1199,527
epoch_1,uid_229622,1196,1198,306,899,910,4993,110,665,2329,4312,79132,1719,356,1175,2762,1210,162414,5952,7323,1259,2571,3022,290,3730,1446,2843,3089,1293,293,1304,5291,1267,48780,1207,3020,134130,112552,71535,44555,4878,778,2863,912,4995,1257,65261,902,58559,84152,1245,1222,4973,953,950,142488,152081,3551,3000,56782,3147,2132,1466,1247,1260,599,1270,1227,55290,1209,1224
epoch_1,uid_167368,1211,1446,5291,930,33166,3468,778,2819,4027,1245,3730,955,2905,2318,1201,900,446,903,7361,162414,40819,951,665,1260,2010,1259,2843,31658,2186,31410,1036,1719,1278,134130,4037,6957,3022,44199,1303,4641,902,1304,2511,1066,910,73,7256,589,950,58559,4967,3020,3095,6993,138036,86347,2762,49530,86504,1254,945,2859,2908,4011,4993,3681,319,1079,3551,2857
epoch_1,uid_21772,1260,5995,3000,527,1256,7090,899,162414,4993,950,1213,1222,3089,1201,138036,3030,4973,3022,5952,1172,1209,900,903,4878,541,6016,48738,1220,55247,49272,1230,5147,1446,40819,930,2289,4226,116797,306,142488,4327,86504,1237,4641,1258,678,910,1732,665,4881,907,111,2843,58559,924,38061,68237,1625,48780,2920,33166,60069,3578,53519,2677,152081,940,52281,31410,778
epoch_1,uid_176555,2959,750,3435,6016,1234,2804,1197,138036,1213,3000,900,49530,1225,80489,1732,4027,162414,1262,1304,1617,1209,3508,1222,4848,1218,1230,5225,44555,1527,116797,3317,1293,903,7099,68157,2542,55247,1220,48516,109374,265,1283,971,1228,7153,1394,599,2288,1214,1219,741,84152,3089,68237,164179,1266,6787,2905,1949,2467,162,4312,55442,86504,1278,112852,1194,44191,942,3949
epoch_1,uid_166868,1233,3429,1245,508,541,2289,1291,900,898,3022,1214,1719,56782,61240,2677,1267,2028,55247,1304,1207,1732,930,4037,36,665,1148,293,947,5782,599,750,3578,2905,290,86504,858,933,79132,30707,86882,3030,951,1136,3089,110,2329,1265,3503,1210,1257,34405,3730,98491,2857,1263,1219,1500,4993,7323,306,1232,3681,1172,67255,4881,44199,923,1938,5013,3020
epoch_1,uid_51695,1214,950,2804,3022,3429,4973,142488,6773,79132,4312,138036,2571,1198,356,2692,919,1207,1257,930,73,1196,527,290,1719,1219,34405,4037,446,67255,1304,38061,593,1209,1221,599,109374,1210,1446,53519,61240,1224,952,902,71535,1281,2908,86347,82459,913,2819,945,1270,3730,88810,3089,1284,3683,2917,260,97938,3508,1961,4011,1208,1232,34437,3147,1225,4902,4878
epoch_1,uid_282217,1237,1172,4848,902,3730,319,1283,3022,1719,1208,1197,142488,109487,8132,899,5878,2905,1148,3000,541,306,2791,2819,930,858,953,79357,86504,720,750,44555,1222,2908,1303,1234,3503,84152,2857,678,2804,1617,4037,1278,1449,1089,1200,215,3095,1304,31658,34405,106916,1204,745,2318,6,1446,446,665,44929,73,910,134130,913,919,49272,3020,33166,164179,3911
epoch_1,uid_188391,2959,930,903,134130,665,2571,1234,4878,3730,2804,5995,1732,86504,527,306,33166,3578,3435,1247,593,919,4993,5291,138036,73,5971,3020,290,2843,902,2542,53519,1200,5952,4312,142488,2819,4027,60069,112552,1201,69844,34405,4995,4226,947,7323,48780,7156,7099,1270,446,49530,48738,45081,1198,1175,745,54001,2186,5013,3996,924,1267,296,1214,1196,2289,1293,940
epoch_1,uid_246431,1148,922,3435,1719,947,2908,3000,1197,2692,1704,4995,3503,3022,1446,665,1281,900,319,68954,945,745,2289,913,290,4327,1259,152081,898,4881,91529,899,1079,7099,1217,34437,293,5673,134130,2819,1214,6016,2843,1228,1175,7323,40819,34405,111,112552,750,920,215,2857,3089,3134,60069,923,162414,88125,2186,79357,55247,950,2804,1245,1136,969,2300,1212,1945
epoch_1,uid_92775,1233,2571,858,3000,904,1228,778,4973,1291,2028,4037,2324,930,7153,1198,446,898,68237,2692,3503,1207,5618,1293,1206,58559,1303,306,1267,3730,1175,142488,3578,50872,4995,5690,1446,296,5952,5971,1260,3030,34405,1258,1148,293,1211,1304,109487,3252,1213,260,1204,2336,3508,3020,924,3095,2289,541,1196,2791,1136,899,950,2318,2511,319,1219,44555,5013
